filename,group,merchant_name,date,has_vat,total_amount,notes
pos_clean_0000.jpg,01_pos_clean,VinCommerce,2020-08-14,False,81302,rotated
pos_clean_0001.jpg,01_pos_clean,VinCommerce,2020-08-14,False,52700,
pos_clean_0002.jpg,01_pos_clean,MINIMART ANAN,2020-08-09,False,63000,
pos_clean_0003.jpg,01_pos_clean,MINIMART ANAN,2020-08-13,False,27000,
pos_clean_0004.jpg,01_pos_clean,PHỞ MỞ,2020-08-13,False,35000,
pos_clean_0005.jpg,01_pos_clean,CỬA HÀNG NĂM OÁNH,2020-08-12,False,133000,
pos_clean_0006.jpg,01_pos_clean,MINIMART ANAN,2020-08-10,False,74000,
pos_clean_0007.jpg,01_pos_clean,Bệnh viện Đa Khoa Bình Thuận,2025-01-09,False,19474000,
pos_clean_0008.jpg,01_pos_clean,THE COFFEE HOUSE,2020-10-02,False,49000,
pos_clean_0009.jpg,01_pos_clean,SIÊU THỊ MINH LOAN,2020-07-18,False,168000,
pos_clean_0010.jpg,01_pos_clean,CỬA HÀNG NĂM OÁNH,2020-08-12,False,65500,
pos_clean_0011.jpg,01_pos_clean,Nhà hàng A Vương,2025-11-05,True,2380500,
pos_clean_0012.jpg,01_pos_clean,,2025-06-10,False,10500000,not_a_receipt
pos_clean_0013.jpg,01_pos_clean,,2022-12-06,False,22400,
pos_clean_0014.jpg,01_pos_clean,Electronics 555,2024-01-01,False,70460000,
pos_clean_0015.jpg,01_pos_clean,Guardian Nguyen Thi Minh Khai,2025-07-09,True,1050000,
pos_clean_0016.jpg,01_pos_clean,MARUKAME UDON & TEMPURA,2018-02-18,True,160600,
pos_clean_0017.jpg,01_pos_clean,VinCommerce,2020-08-12,False,14544,
pos_clean_0018.jpg,01_pos_clean,VinCommerce,2020-08-12,True,309000,
pos_clean_0019.jpg,01_pos_clean,VinCommerce,2020-08-11,False,22000,
pos_clean_0020.jpg,01_pos_clean,THE COFFEE HOUSE,2020-10-01,False,49000,
pos_clean_0021.jpg,01_pos_clean,VietAZ hotel,,True,1532000,date is out of range (2010-07-21)
pos_clean_0022.jpg,01_pos_clean,Happy Holiday Resort - Demo1,2024-09-30,False,1600000,
pos_clean_0023.jpg,01_pos_clean,Ví VNPAY,2022-10-17,False,876600,
pos_clean_0024.jpg,01_pos_clean,KHÁCH SẠN TRE XANH,2025-06-01,False,8000000,
pos_clean_0025.jpg,01_pos_clean,VINH NGUYEN RES,2019-03-29,False,225000,
pos_clean_0026.jpg,01_pos_clean,Nhà hàng Bảo Trang (Cơ sở 1),2017-02-08,False,1344600,
pos_clean_0027.jpg,01_pos_clean,CÔNG TY CP CẤP NƯỚC THỚT NỐT,2020-02-20,True,93500,
pos_clean_0028.jpg,01_pos_clean,CASE STUDY,2023-05-31,False,588000,
pos_clean_0030.jpg,01_pos_clean,KARAOKE DORAEMON,2017-03-22,False,1234000,
pos_clean_0031.jpg,01_pos_clean,CÔNG TY CỔ PHẦN ĐÔ THỊ CAM RANH,2023-11-30,True,13606800,
pos_clean_0032.jpg,01_pos_clean,,2025-02-06,True,333385,"other, water payment receipt"
pos_clean_0033.jpg,01_pos_clean,Café Mộc Lan,2020-09-11,False,120000,
pos_clean_0034.jpg,01_pos_clean,BILLIARDS CLUP NEW VIP,2017-12-13,False,370000,
pos_clean_0035.jpg,01_pos_clean,HTX CƠ KHÍ VÀ VẬN TẢI Ô TÔ HUY HOÀNG,2022-10-11,True,220000,
pos_clean_0036.jpg,01_pos_clean,TRẠM THU PHÍ SỐ 1 - QL5,,False,39000,"partial date visible, some text obscured"
pos_clean_0037.jpg,01_pos_clean,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN ĐƯỜNG CAO TỐC VIỆT NAM - Cty TNHH MTV,,True,64000,
pos_clean_0038.jpg,01_pos_clean,CÔNG TY TNHH VẬN TẢI DU LỊCH KHANH PHONG,2025-09-03,False,350000,
pos_clean_0039.jpg,01_pos_clean,VINASUN TAXI,2025-10-03,False,421,
pos_clean_0040.jpg,01_pos_clean,CÔNG TY TNHH VẬN TẢI HÀNH KHÁCH VÀ DU LỊCH PHÚC YÊN,2025-11-26,True,290000,
pos_clean_0041.jpg,01_pos_clean,CÔNG TY CP HOÀNG LONG,2022-06-15,False,120000,partial receipt image
pos_clean_0042.jpg,01_pos_clean,CÔNG TY CỔ PHẦN DỊCH VỤ VẬN TẢI GIA LAI,2023-10-11,False,300000,
pos_clean_0043.jpg,01_pos_clean,VietNam Airlines,,True,3298000,
pos_clean_0044.jpg,01_pos_clean,TIẾN ANH,2025-06-17,False,200000,
pos_clean_0045.jpg,01_pos_clean,,,False,,not_a_receipt
pos_clean_0046.jpg,01_pos_clean,TECHCOMBANK,2026-04-07,False,350000,
pos_clean_0047.jpg,01_pos_clean,CTĐL TP Cần Thơ,2026-04-02,False,202338,
pos_clean_0048.jpg,01_pos_clean,,,True,26460000,not_a_receipt
pos_clean_0049.jpg,01_pos_clean,NỘI THẤT GIA LINH,,False,147600000,
pos_clean_0050.jpg,01_pos_clean,CƠ SỞ II TRƯỜNG ĐẠI HỌC NGOẠI THƯƠNG TẠI TP.HCM,2023-03-31,False,20003000,
pos_clean_0051.jpg,01_pos_clean,KHOA Y,2021-07-31,False,6980000,
pos_clean_0052.jpg,01_pos_clean,Thẻ học đường SSC,,False,910000,
pos_clean_0053.jpg,01_pos_clean,Bệnh Viện Từ Dũ Nhà thuốc 227 Cống Quỳnh,2023-01-12,False,494482,
vat_invoice_0000.jpg,02_vat_invoice,CÔNG TY TNHH ĐẦU TƯ VÀ CÔNG NGHỆ AN TIẾN,,False,29000000,"date is 2014-10-25, which is before 2015-01-01, so date set to null"
